years,dept_name,gender,Male,Female,Total_average_salary
1992,Sales,M,69628.8,0,69628.75
1992,Sales,F,0,68333.5,68333.47
1992,Research,M,47339.9,0,47339.88
1992,Research,F,0,47636.0,47635.95
1992,"Customer Service",M,47072.0,0,47072.03
1992,"Customer Service",F,0,46912.4,46912.41
1993,Marketing,M,60436.9,0,60436.85
1993,Marketing,F,0,60879.3,60879.25
1993,Finance,M,59036.9,0,59036.87
1993,Finance,F,0,59552.5,59552.54
1993,"Human Resources",M,44419.2,0,44419.21
1993,"Human Resources",F,0,45189.0,45188.98
1993,Production,M,48724.6,0,48724.61
1993,Production,F,0,48482.1,48482.06
1993,Development,M,48628.5,0,48628.51
1993,Development,F,0,48511.9,48511.89
1993,"Quality Management",M,46487.7,0,46487.68
1993,"Quality Management",F,0,46704.8,46704.83
1993,Sales,M,70643.1,0,70643.11
1993,Sales,F,0,69328.3,69328.25
1993,Research,M,48624.6,0,48624.61
1993,Research,F,0,48588.3,48588.29
1993,"Customer Service",M,48258.6,0,48258.55
1993,"Customer Service",F,0,48566.8,48566.83
1994,Marketing,M,64547.5,0,64547.55
1994,Marketing,F,0,61673.1,61673.05
1994,Finance,M,62926.1,0,62926.06
1994,Finance,F,0,60829.0,60829.02
1994,"Human Resources",M,48020.1,0,48020.06
1994,"Human Resources",F,0,46372.8,46372.79
1994,Production,M,52590.6,0,52590.55
1994,Production,F,0,49349.2,49349.21
1994,Development,M,52597.5,0,52597.50
1994,Development,F,0,49572.5,49572.48
1994,"Quality Management",M,50517.7,0,50517.67
1994,"Quality Management",F,0,47438.3,47438.31
1994,Sales,M,74672.3,0,74672.25
1994,Sales,F,0,70368.9,70368.89
1994,Research,M,52723.5,0,52723.48
1994,Research,F,0,49742.1,49742.10
1994,"Customer Service",M,52224.3,0,52224.26
1994,"Customer Service",F,0,49391.6,49391.65
1995,Marketing,M,65377.1,0,65377.05
1995,Marketing,F,0,63080.1,63080.14
1995,Finance,M,64161.5,0,64161.47
1995,Finance,F,0,61103.0,61103.05
1995,"Human Resources",M,49161.4,0,49161.39
1995,"Human Resources",F,0,47084.7,47084.66
1995,Production,M,53527.3,0,53527.26
1995,Production,F,0,50276.1,50276.05
1995,Development,M,53570.4,0,53570.37
1995,Development,F,0,50397.5,50397.55
1995,"Quality Management",M,51656.1,0,51656.11
1995,"Quality Management",F,0,48211.3,48211.26
1995,Sales,M,75392.3,0,75392.29
1995,Sales,F,0,71582.7,71582.74
1995,Research,M,53567.5,0,53567.51
1995,Research,F,0,50420.7,50420.71
1995,"Customer Service",M,53229.9,0,53229.88
1995,"Customer Service",F,0,50205.5,50205.51
1996,Marketing,M,66467.6,0,66467.56
1996,Marketing,F,0,63678.9,63678.94
1996,Finance,M,65447.6,0,65447.59
1996,Finance,F,0,62151.5,62151.46
1996,"Human Resources",M,50041.4,0,50041.42
1996,"Human Resources",F,0,47813.8,47813.78
1996,Production,M,54461.5,0,54461.46
1996,Production,F,0,51357.6,51357.65
1996,Development,M,54600.0,0,54600.03
1996,Development,F,0,51329.4,51329.42
1996,"Quality Management",M,52484.5,0,52484.49
1996,"Quality Management",F,0,49262.5,49262.54
1996,Sales,M,76194.5,0,76194.49
1996,Sales,F,0,72539.8,72539.82
1996,Research,M,54667.8,0,54667.78
1996,Research,F,0,51633.2,51633.22
1996,"Customer Service",M,54163.5,0,54163.48
1996,"Customer Service",F,0,51306.1,51306.14
1997,Marketing,M,67253.2,0,67253.18
1997,Marketing,F,0,64402.3,64402.33
1997,Finance,M,66108.3,0,66108.29
1997,Finance,F,0,62924.7,62924.74
1997,"Human Resources",M,51047.0,0,51046.97
1997,"Human Resources",F,0,48764.4,48764.45
1997,Production,M,55491.8,0,55491.81
1997,Production,F,0,52261.7,52261.68
1997,Development,M,55603.5,0,55603.54
1997,Development,F,0,52164.7,52164.69
1997,"Quality Management",M,53448.8,0,53448.81
1997,"Quality Management",F,0,50224.0,50224.05
1997,Sales,M,77031.6,0,77031.56
1997,Sales,F,0,73673.2,73673.18
1997,Research,M,55841.0,0,55841.00
1997,Research,F,0,52388.1,52388.12
1997,"Customer Service",M,55053.9,0,55053.94
1997,"Customer Service",F,0,52383.7,52383.74
1998,Marketing,M,66332.5,0,66332.51
1998,Marketing,F,0,65582.1,65582.10
1998,Finance,M,65170.7,0,65170.73
1998,Finance,F,0,64103.3,64103.31
1998,"Human Resources",M,50250.6,0,50250.60
1998,"Human Resources",F,0,49703.6,49703.58
1998,Production,M,54637.8,0,54637.81
1998,Production,F,0,53345.4,53345.36
1998,Development,M,54768.9,0,54768.88
1998,Development,F,0,53232.2,53232.17
1998,"Quality Management",M,52442.1,0,52442.07
1998,"Quality Management",F,0,51014.0,51014.05
1998,Sales,M,76140.2,0,76140.20
1998,Sales,F,0,74629.3,74629.33
1998,Research,M,55095.7,0,55095.75
1998,Research,F,0,53413.4,53413.43
1998,"Customer Service",M,53932.7,0,53932.73
1998,"Customer Service",F,0,53280.8,53280.83
1999,Marketing,M,67594.6,0,67594.58
1999,Marketing,F,0,66361.3,66361.30
1999,Finance,M,66548.0,0,66548.04
1999,Finance,F,0,65253.6,65253.63
1999,"Human Resources",M,51602.1,0,51602.10
1999,"Human Resources",F,0,50823.3,50823.26
1999,Production,M,55989.7,0,55989.69
1999,Production,F,0,54263.1,54263.07
1999,Development,M,56026.9,0,56026.85
1999,Development,F,0,54359.8,54359.81
1999,"Quality Management",M,53884.7,0,53884.69
1999,"Quality Management",F,0,51940.3,51940.34
1999,Sales,M,77413.6,0,77413.62
1999,Sales,F,0,75489.1,75489.05
1999,Research,M,56363.1,0,56363.11
1999,Research,F,0,54685.9,54685.89
1999,"Customer Service",M,55340.7,0,55340.74
1999,"Customer Service",F,0,54233.4,54233.42
2000,Marketing,M,73248.0,0,73248.01
2000,Marketing,F,0,68347.8,68347.80
2000,Finance,M,72095.7,0,72095.66
2000,Finance,F,0,67160.0,67159.97
2000,"Human Resources",M,57180.8,0,57180.79
2000,"Human Resources",F,0,52911.5,52911.55
2000,Production,M,61605.9,0,61605.93
2000,Production,F,0,56190.6,56190.65
2000,Development,M,61562.9,0,61562.88
2000,Development,F,0,56297.7,56297.66
2000,"Quality Management",M,59421.6,0,59421.57
2000,"Quality Management",F,0,53863.3,53863.33
2000,Sales,M,83072.8,0,83072.84
2000,Sales,F,0,77469.4,77469.37
2000,Research,M,61922.9,0,61922.89
2000,Research,F,0,56552.0,56551.97
2000,"Customer Service",M,61004.8,0,61004.78
2000,"Customer Service",F,0,56243.5,56243.48
2001,Marketing,M,75364.3,0,75364.26
2001,Marketing,F,0,70363.8,70363.80
2001,Finance,M,74134.4,0,74134.44
2001,Finance,F,0,69267.9,69267.87
2001,"Human Resources",M,59150.9,0,59150.86
2001,"Human Resources",F,0,54962.2,54962.18
2001,Production,M,63642.9,0,63642.94
2001,Production,F,0,58403.7,58403.74
2001,Development,M,63674.1,0,63674.08
2001,Development,F,0,58424.2,58424.18
2001,"Quality Management",M,61657.0,0,61657.05
2001,"Quality Management",F,0,55946.7,55946.66
2001,Sales,M,85173.9,0,85173.86
2001,Sales,F,0,79553.6,79553.59
2001,Research,M,64006.2,0,64006.22
2001,Research,F,0,58615.7,58615.66
2001,"Customer Service",M,63213.5,0,63213.53
2001,"Customer Service",F,0,58277.6,58277.64
2002,Marketing,M,77525.2,0,77525.24
2002,Marketing,F,0,71984.0,71984.04
2002,Finance,M,76027.4,0,76027.38
2002,Finance,F,0,70989.4,70989.36
2002,"Human Resources",M,61449.2,0,61449.24
2002,"Human Resources",F,0,56501.6,56501.56
2002,Production,M,65608.7,0,65608.67
2002,Production,F,0,60467.8,60467.83
2002,Development,M,65813.9,0,65813.90
2002,Development,F,0,60260.3,60260.34
2002,"Quality Management",M,63650.5,0,63650.47
2002,"Quality Management",F,0,57630.0,57629.97
2002,Sales,M,87113.3,0,87113.29
2002,Sales,F,0,81513.4,81513.38
2002,Research,M,66512.3,0,66512.30
2002,Research,F,0,60821.5,60821.50
2002,"Customer Service",M,66075.2,0,66075.16
2002,"Customer Service",F,0,60588.5,60588.55
